customer_id,country,customer_age,account_age_days
CUST_00001,France,68,1233
CUST_00002,Belgium,57,545
CUST_00003,Spain,24,204
CUST_00004,Netherlands,49,792
CUST_00005,Germany,65,1074
CUST_00006,Germany,36,1026
CUST_00007,Germany,23,1158
CUST_00008,Italy,37,607
CUST_00009,Spain,44,1496
CUST_00010,Spain,60,78
CUST_00011,Germany,54,557
CUST_00012,Belgium,65,174
CUST_00013,Italy,24,1393
CUST_00014,Germany,22,791
CUST_00015,Germany,28,1407
CUST_00016,Germany,32,1128
CUST_00017,France,20,958
CUST_00018,Netherlands,22,823
CUST_00019,France,40,348
CUST_00020,France,54,1140
CUST_00021,Spain,26,727
CUST_00022,Germany,32,876
CUST_00023,France,20,812
CUST_00024,France,46,71
CUST_00025,Netherlands,23,1146
CUST_00026,Italy,34,558
CUST_00027,Germany,43,1318
CUST_00028,Netherlands,38,321
CUST_00029,Netherlands,25,998
CUST_00030,Germany,38,126
CUST_00031,Spain,28,1148
CUST_00032,Germany,55,1379
CUST_00033,Germany,25,103
CUST_00034,Belgium,59,1389
CUST_00035,Belgium,41,1121
CUST_00036,Italy,52,787
CUST_00037,France,31,1130
CUST_00038,Germany,31,237
CUST_00039,Spain,27,1274
CUST_00040,France,29,1315
CUST_00041,Germany,55,439
CUST_00042,Netherlands,61,360
CUST_00043,Germany,63,373
CUST_00044,Belgium,51,1018
CUST_00045,France,58,800
CUST_00046,Spain,27,103
CUST_00047,France,34,283
CUST_00048,Netherlands,34,988
CUST_00049,Netherlands,20,849
CUST_00050,Germany,48,1015
CUST_00051,Belgium,68,361
CUST_00052,Italy,18,1451
CUST_00053,Belgium,29,1398
CUST_00054,Italy,56,776
CUST_00055,Netherlands,21,865
CUST_00056,Belgium,59,484
CUST_00057,Germany,30,1168
CUST_00058,Germany,51,342
CUST_00059,Germany,59,1047
CUST_00060,France,38,257
CUST_00061,France,39,863
CUST_00062,France,21,887
CUST_00063,Italy,35,1298
CUST_00064,France,22,847
CUST_00065,France,36,1047
CUST_00066,Netherlands,19,557
CUST_00067,Germany,29,979
CUST_00068,Italy,34,456
CUST_00069,Germany,27,71
CUST_00070,Belgium,51,494
CUST_00071,Italy,23,307
CUST_00072,Germany,25,865
CUST_00073,Germany,68,48
CUST_00074,Italy,28,95
CUST_00075,Spain,29,196
CUST_00076,Spain,26,1049
CUST_00077,Italy,19,432
CUST_00078,Germany,25,438
CUST_00079,France,28,141
CUST_00080,Germany,53,1327
CUST_00081,Italy,27,1460
CUST_00082,Spain,38,1426
CUST_00083,France,37,626
CUST_00084,Germany,65,680
CUST_00085,France,25,1092
CUST_00086,France,53,134
CUST_00087,Spain,46,353
CUST_00088,Spain,59,1021
CUST_00089,Italy,29,1467
CUST_00090,Netherlands,31,458
CUST_00091,Germany,65,664
CUST_00092,Spain,67,759
CUST_00093,Italy,38,918
CUST_00094,Netherlands,39,1114
CUST_00095,Italy,38,1360
CUST_00096,Netherlands,61,1407
CUST_00097,Netherlands,67,422
CUST_00098,France,47,233
CUST_00099,Germany,56,287
CUST_00100,Germany,37,515
CUST_00101,Germany,41,475
CUST_00102,Spain,40,1233
CUST_00103,France,24,1053
CUST_00104,Netherlands,26,371
CUST_00105,Belgium,18,162
CUST_00106,Germany,43,472
CUST_00107,France,55,282
CUST_00108,Italy,55,294
CUST_00109,Germany,61,122
CUST_00110,Germany,39,1464
CUST_00111,France,61,167
CUST_00112,Germany,27,1261
CUST_00113,Belgium,23,1031
CUST_00114,Italy,34,336
CUST_00115,Spain,68,295
CUST_00116,Italy,67,675
CUST_00117,Italy,55,347
CUST_00118,Germany,41,1166
CUST_00119,Italy,68,930
CUST_00120,Netherlands,27,1431
CUST_00121,Italy,25,483
CUST_00122,Italy,38,220
CUST_00123,France,23,1493
CUST_00124,Germany,38,1240
CUST_00125,Germany,56,860
CUST_00126,France,41,1420
CUST_00127,Italy,50,1142
CUST_00128,Italy,35,216
CUST_00129,Germany,45,848
CUST_00130,Netherlands,69,1050
CUST_00131,France,49,161
CUST_00132,Germany,29,901
CUST_00133,Germany,65,664
CUST_00134,France,59,1429
CUST_00135,Belgium,44,720
CUST_00136,France,27,721
CUST_00137,Netherlands,63,1152
CUST_00138,Spain,69,1087
CUST_00139,France,59,611
CUST_00140,Belgium,49,200
CUST_00141,Belgium,59,1419
CUST_00142,France,43,813
CUST_00143,Netherlands,42,1112
CUST_00144,France,28,210
CUST_00145,France,40,48
CUST_00146,Germany,51,1279
CUST_00147,Spain,69,1148
CUST_00148,Netherlands,57,910
CUST_00149,Germany,40,1350
CUST_00150,France,46,204
CUST_00151,Belgium,48,1275
CUST_00152,Germany,24,83
CUST_00153,Germany,57,724
CUST_00154,Netherlands,50,892
CUST_00155,Belgium,38,1456
CUST_00156,Germany,19,1371
CUST_00157,Spain,35,378
CUST_00158,Italy,64,472
CUST_00159,Germany,50,862
CUST_00160,Spain,54,609
CUST_00161,France,51,311
CUST_00162,Spain,37,389
CUST_00163,Spain,52,944
CUST_00164,Netherlands,68,852
CUST_00165,Germany,67,921
CUST_00166,Italy,35,982
CUST_00167,France,63,670
CUST_00168,Germany,41,1061
CUST_00169,Germany,25,592
CUST_00170,Netherlands,47,520
CUST_00171,Spain,61,370
CUST_00172,Germany,27,501
CUST_00173,Netherlands,40,278
CUST_00174,Germany,69,264
CUST_00175,Spain,66,1136
CUST_00176,Germany,28,1146
CUST_00177,Spain,19,1447
CUST_00178,France,43,853
CUST_00179,Belgium,53,1321
CUST_00180,Germany,50,1470
CUST_00181,France,64,661
CUST_00182,Germany,30,558
CUST_00183,Belgium,57,1306
CUST_00184,Italy,42,151
CUST_00185,France,21,921
CUST_00186,Spain,59,39
CUST_00187,Italy,36,1369
CUST_00188,Netherlands,35,867
CUST_00189,Netherlands,54,1326
CUST_00190,Germany,47,1359
CUST_00191,Germany,36,1263
CUST_00192,Italy,40,782
CUST_00193,Belgium,33,915
CUST_00194,Spain,18,493
CUST_00195,France,29,741
CUST_00196,France,41,757
CUST_00197,Spain,51,746
CUST_00198,Italy,25,1469
CUST_00199,Italy,35,1269
CUST_00200,Italy,65,109
CUST_00201,Spain,22,509
CUST_00202,Germany,43,931
CUST_00203,Germany,47,920
CUST_00204,Italy,30,47
CUST_00205,Spain,36,1218
CUST_00206,Germany,46,231
CUST_00207,Germany,20,770
CUST_00208,Spain,43,1399
CUST_00209,Germany,57,1419
CUST_00210,Germany,29,348
CUST_00211,Netherlands,19,246
CUST_00212,Spain,28,1087
CUST_00213,Spain,61,295
CUST_00214,Germany,45,753
CUST_00215,Spain,35,804
CUST_00216,Germany,30,1133
CUST_00217,France,54,442
CUST_00218,Spain,39,1305
CUST_00219,Spain,29,1065
CUST_00220,Italy,19,430
CUST_00221,Spain,54,753
CUST_00222,Netherlands,24,311
CUST_00223,Germany,43,1165
CUST_00224,France,43,752
CUST_00225,France,41,1431
CUST_00226,Germany,29,780
CUST_00227,Belgium,33,297
CUST_00228,France,40,327
CUST_00229,Italy,57,1370
CUST_00230,Spain,26,599
CUST_00231,Italy,49,538
CUST_00232,Netherlands,32,575
CUST_00233,Netherlands,54,804
CUST_00234,Netherlands,30,394
CUST_00235,Germany,22,576
CUST_00236,Spain,28,300
CUST_00237,France,27,768
CUST_00238,Germany,69,566
CUST_00239,Spain,30,1287
CUST_00240,Germany,58,88
CUST_00241,Belgium,63,1304
CUST_00242,Belgium,67,115
CUST_00243,Belgium,32,792
CUST_00244,France,59,419
CUST_00245,Germany,24,1233
CUST_00246,Belgium,57,748
CUST_00247,France,45,885
CUST_00248,Belgium,49,178
CUST_00249,Belgium,52,612
CUST_00250,Italy,32,150
CUST_00251,France,65,794
CUST_00252,France,53,634
CUST_00253,Italy,38,285
CUST_00254,France,23,795
CUST_00255,Germany,18,893
CUST_00256,Netherlands,21,829
CUST_00257,Belgium,28,1362
CUST_00258,Spain,61,88
CUST_00259,Netherlands,43,1051
CUST_00260,Germany,54,1122
CUST_00261,Spain,40,1499
CUST_00262,Belgium,46,417
CUST_00263,Germany,38,1139
CUST_00264,Netherlands,65,815
CUST_00265,Italy,62,1280
CUST_00266,Spain,62,622
CUST_00267,Spain,66,1237
CUST_00268,Spain,44,1375
CUST_00269,France,56,938
CUST_00270,France,57,1371
CUST_00271,Italy,30,595
CUST_00272,Italy,40,428
CUST_00273,Italy,33,928
CUST_00274,Belgium,47,1346
CUST_00275,Netherlands,21,322
CUST_00276,Netherlands,57,514
CUST_00277,Italy,33,832
CUST_00278,Spain,48,1465
CUST_00279,Spain,59,919
CUST_00280,Italy,42,273
CUST_00281,Italy,61,1473
CUST_00282,France,29,989
CUST_00283,France,43,1207
CUST_00284,Germany,54,845
CUST_00285,Netherlands,65,1477
CUST_00286,Germany,50,302
CUST_00287,Netherlands,45,549
CUST_00288,Netherlands,26,1181
CUST_00289,France,29,1426
CUST_00290,Netherlands,22,597
CUST_00291,Germany,69,667
CUST_00292,Germany,45,188
CUST_00293,Italy,52,681
CUST_00294,France,22,205
CUST_00295,Germany,51,649
CUST_00296,Netherlands,63,240
CUST_00297,Italy,51,476
CUST_00298,Germany,30,615
CUST_00299,Spain,56,196
CUST_00300,Germany,59,489
CUST_00301,Germany,62,945
CUST_00302,Netherlands,65,1410
CUST_00303,Netherlands,31,1357
CUST_00304,Spain,28,1286
CUST_00305,Spain,59,1380
CUST_00306,Belgium,55,1235
CUST_00307,Netherlands,21,1387
CUST_00308,France,50,1082
CUST_00309,Italy,24,743
CUST_00310,France,58,1146
CUST_00311,France,25,870
CUST_00312,Germany,54,897
CUST_00313,Germany,68,717
CUST_00314,Belgium,27,359
CUST_00315,Italy,60,1237
CUST_00316,Spain,32,124
CUST_00317,France,55,814
CUST_00318,Germany,32,678
CUST_00319,Germany,22,382
CUST_00320,France,46,959
CUST_00321,Netherlands,36,970
CUST_00322,Spain,68,1013
CUST_00323,Spain,27,1318
CUST_00324,France,29,1072
CUST_00325,Belgium,21,675
CUST_00326,Spain,48,655
CUST_00327,Netherlands,35,168
CUST_00328,Spain,33,745
CUST_00329,France,57,791
CUST_00330,Germany,53,284
CUST_00331,France,42,1138
CUST_00332,Italy,40,705
CUST_00333,Germany,29,121
CUST_00334,Germany,51,1122
CUST_00335,Germany,53,66
CUST_00336,Germany,54,169
CUST_00337,Italy,20,896
CUST_00338,Spain,26,709
CUST_00339,Netherlands,35,1231
CUST_00340,Germany,60,166
CUST_00341,Netherlands,52,219
CUST_00342,Netherlands,51,371
CUST_00343,Germany,58,1058
CUST_00344,France,31,1001
CUST_00345,France,21,1310
CUST_00346,Spain,46,691
CUST_00347,Spain,58,272
CUST_00348,Germany,62,444
CUST_00349,France,67,736
CUST_00350,Spain,32,372
CUST_00351,Netherlands,45,711
CUST_00352,Italy,59,1432
CUST_00353,Spain,33,682
CUST_00354,Germany,29,175
CUST_00355,Germany,69,352
CUST_00356,Spain,22,151
CUST_00357,Germany,51,1305
CUST_00358,Netherlands,59,340
CUST_00359,Belgium,18,630
CUST_00360,Netherlands,56,504
CUST_00361,France,49,599
CUST_00362,Spain,43,604
CUST_00363,Netherlands,34,376
CUST_00364,Netherlands,65,849
CUST_00365,Belgium,44,411
CUST_00366,France,41,1333
CUST_00367,Belgium,52,101
CUST_00368,Belgium,63,550
CUST_00369,Germany,59,1419
CUST_00370,Germany,56,962
CUST_00371,Germany,43,1147
CUST_00372,Germany,66,1426
CUST_00373,Germany,55,368
CUST_00374,Spain,40,1490
CUST_00375,Germany,39,1389
CUST_00376,France,21,693
CUST_00377,Italy,66,69
CUST_00378,Germany,26,1412
CUST_00379,Italy,21,603
CUST_00380,France,24,1307
CUST_00381,Germany,40,995
CUST_00382,Spain,19,610
CUST_00383,Spain,66,1451
CUST_00384,Italy,41,199
CUST_00385,Spain,57,730
CUST_00386,Italy,48,540
CUST_00387,France,64,1313
CUST_00388,Germany,48,613
CUST_00389,Italy,64,1013
CUST_00390,Italy,57,488
CUST_00391,Belgium,65,558
CUST_00392,France,68,370
CUST_00393,France,60,86
CUST_00394,Italy,51,247
CUST_00395,France,41,648
CUST_00396,Belgium,66,845
CUST_00397,Italy,43,760
CUST_00398,France,33,493
CUST_00399,Italy,64,276
CUST_00400,Italy,30,759
CUST_00401,Germany,32,402
CUST_00402,Belgium,44,446
CUST_00403,Netherlands,21,1084
CUST_00404,Italy,33,397
CUST_00405,France,47,588
CUST_00406,Italy,61,137
CUST_00407,France,47,613
CUST_00408,Germany,53,868
CUST_00409,Belgium,20,447
CUST_00410,Germany,39,850
CUST_00411,France,66,1451
CUST_00412,Belgium,39,1325
CUST_00413,Belgium,67,712
CUST_00414,Netherlands,67,1169
CUST_00415,Spain,66,285
CUST_00416,France,29,1134
CUST_00417,France,38,809
CUST_00418,France,21,1181
CUST_00419,Spain,48,867
CUST_00420,Italy,61,944
CUST_00421,Italy,48,264
CUST_00422,Italy,40,582
CUST_00423,Germany,37,210
CUST_00424,Netherlands,32,186
CUST_00425,Germany,40,600
CUST_00426,Netherlands,45,886
CUST_00427,France,33,1077
CUST_00428,Italy,54,1453
CUST_00429,France,38,977
CUST_00430,Germany,32,621
CUST_00431,Germany,34,163
CUST_00432,Italy,67,450
CUST_00433,Spain,54,242
CUST_00434,Germany,30,929
CUST_00435,Germany,36,511
CUST_00436,Spain,47,377
CUST_00437,Germany,62,195
CUST_00438,Italy,35,966
CUST_00439,Spain,31,377
CUST_00440,Germany,53,878
CUST_00441,Germany,53,427
CUST_00442,Belgium,37,612
CUST_00443,France,69,755
CUST_00444,France,36,1488
CUST_00445,Italy,62,1274
CUST_00446,Belgium,61,337
CUST_00447,Belgium,24,1020
CUST_00448,Italy,61,827
CUST_00449,France,21,748
CUST_00450,Germany,51,495
CUST_00451,Italy,19,128
CUST_00452,Netherlands,22,1295
CUST_00453,France,27,187
CUST_00454,Belgium,49,639
CUST_00455,Germany,59,583
CUST_00456,Netherlands,58,680
CUST_00457,Germany,30,949
CUST_00458,Netherlands,56,256
CUST_00459,Germany,22,452
CUST_00460,Germany,27,1125
CUST_00461,Germany,27,272
CUST_00462,Spain,55,559
CUST_00463,Spain,44,1098
CUST_00464,Netherlands,68,400
CUST_00465,Belgium,38,681
CUST_00466,France,25,718
CUST_00467,France,18,763
CUST_00468,Italy,45,121
CUST_00469,Germany,66,1075
CUST_00470,Belgium,56,201
CUST_00471,Germany,31,1245
CUST_00472,Belgium,38,1130
CUST_00473,Germany,47,1334
CUST_00474,Italy,38,1417
CUST_00475,Netherlands,66,208
CUST_00476,Belgium,26,267
CUST_00477,Germany,34,1188
CUST_00478,Netherlands,22,906
CUST_00479,Belgium,48,931
CUST_00480,Netherlands,69,309
CUST_00481,Spain,57,1072
CUST_00482,Spain,55,769
CUST_00483,Netherlands,60,400
CUST_00484,Spain,36,1165
CUST_00485,Netherlands,53,899
CUST_00486,Belgium,67,1048
CUST_00487,Germany,50,250
CUST_00488,France,30,949
CUST_00489,Belgium,31,333
CUST_00490,Italy,50,1378
CUST_00491,Netherlands,46,1490
CUST_00492,Spain,60,467
CUST_00493,France,66,1223
CUST_00494,Germany,53,404
CUST_00495,Netherlands,61,410
CUST_00496,France,27,1015
CUST_00497,Netherlands,48,43
CUST_00498,Germany,23,772
CUST_00499,Belgium,18,698
CUST_00500,Belgium,24,529
CUST_00501,Spain,44,1444
CUST_00502,Netherlands,38,594
CUST_00503,France,45,559
CUST_00504,Italy,33,521
CUST_00505,Spain,63,1438
CUST_00506,Germany,40,1249
CUST_00507,Belgium,69,784
CUST_00508,Italy,37,329
CUST_00509,Belgium,55,844
CUST_00510,Spain,42,576
CUST_00511,Spain,45,756
CUST_00512,France,22,760
CUST_00513,Belgium,38,857
CUST_00514,Italy,35,631
CUST_00515,Germany,64,1361
CUST_00516,Germany,23,1305
CUST_00517,France,46,1061
CUST_00518,Italy,36,797
CUST_00519,Belgium,50,904
CUST_00520,Germany,18,1261
CUST_00521,Netherlands,62,966
CUST_00522,France,20,160
CUST_00523,Belgium,59,637
CUST_00524,Italy,38,55
CUST_00525,Italy,52,664
CUST_00526,Netherlands,58,1239
CUST_00527,France,57,513
CUST_00528,France,20,709
CUST_00529,Germany,42,1104
CUST_00530,Italy,62,34
CUST_00531,Italy,55,618
CUST_00532,Belgium,62,1213
CUST_00533,Belgium,37,237
CUST_00534,Netherlands,69,286
CUST_00535,Italy,61,1258
CUST_00536,Belgium,62,40
CUST_00537,Italy,51,978
CUST_00538,Germany,38,37
CUST_00539,Netherlands,65,1462
CUST_00540,Germany,40,965
CUST_00541,Belgium,23,61
CUST_00542,Spain,68,569
CUST_00543,Germany,30,1034
CUST_00544,Spain,66,416
CUST_00545,Spain,40,1281
CUST_00546,France,26,669
CUST_00547,Germany,34,236
CUST_00548,Spain,19,1371
CUST_00549,Netherlands,36,586
CUST_00550,Italy,36,377
CUST_00551,Netherlands,24,822
CUST_00552,Italy,59,263
CUST_00553,Netherlands,59,1097
CUST_00554,Netherlands,37,1035
CUST_00555,Italy,26,766
CUST_00556,France,34,971
CUST_00557,Germany,44,1195
CUST_00558,Germany,64,205
CUST_00559,Italy,19,478
CUST_00560,Spain,53,621
CUST_00561,Spain,36,111
CUST_00562,Germany,34,164
CUST_00563,Germany,22,885
CUST_00564,Germany,56,1230
CUST_00565,France,35,1436
CUST_00566,Netherlands,24,1296
CUST_00567,France,34,1194
CUST_00568,France,56,469
CUST_00569,Belgium,53,1109
CUST_00570,France,57,726
CUST_00571,Netherlands,62,448
CUST_00572,Italy,21,117
CUST_00573,France,55,685
CUST_00574,Spain,42,1061
CUST_00575,Italy,22,244
CUST_00576,Belgium,47,581
CUST_00577,Germany,29,532
CUST_00578,Belgium,21,728
CUST_00579,Netherlands,41,274
CUST_00580,France,46,338
CUST_00581,Netherlands,26,260
CUST_00582,Belgium,21,1436
CUST_00583,Netherlands,68,184
CUST_00584,France,41,1228
CUST_00585,Spain,31,877
CUST_00586,Germany,22,144
CUST_00587,Germany,35,1443
CUST_00588,Germany,59,340
CUST_00589,Germany,36,1022
CUST_00590,Germany,29,329
CUST_00591,Germany,35,1071
CUST_00592,Spain,34,813
CUST_00593,Germany,47,41
CUST_00594,France,41,1457
CUST_00595,Italy,28,261
CUST_00596,Netherlands,52,984
CUST_00597,Spain,40,759
CUST_00598,Germany,34,1331
CUST_00599,Germany,18,1406
CUST_00600,Germany,32,1047
CUST_00601,Germany,49,1028
CUST_00602,France,26,332
CUST_00603,Germany,32,570
CUST_00604,Germany,45,499
CUST_00605,Germany,41,842
CUST_00606,Netherlands,52,106
CUST_00607,Germany,39,1049
