transaction_id,customer_id,merchant_id,transaction_timestamp,amount,transaction_type,payment_method,device_type,status,failure_reason,country,customer_age,account_age_days,merchant_name,merchant_category,merchant_country,is_international,high_value_flag,multiple_failures_flag,risk_flag
TXN_004190,CUST_00001,MER_024,2025-01-02 16:29:12,26.25,Subscription,Credit Card,Desktop,Successful,,France,68,1233,Merchant_024,Fashion,Netherlands,True,False,False,False
TXN_017370,CUST_00001,MER_024,2025-01-10 01:01:32,33.02,Subscription,Credit Card,Mobile,Successful,,France,68,1233,Merchant_024,Fashion,Netherlands,True,False,False,False
TXN_030235,CUST_00001,MER_033,2025-02-13 01:31:03,111.81,Purchase,Debit Card,Desktop,Successful,,France,68,1233,Merchant_033,Travel,Netherlands,True,False,False,False
TXN_080389,CUST_00001,MER_032,2025-03-20 00:18:51,19.93,Purchase,Credit Card,Desktop,Successful,,France,68,1233,Merchant_032,Food & Dining,Italy,True,False,False,False
TXN_018645,CUST_00001,MER_014,2025-04-02 23:45:57,29.84,Purchase,Digital Wallet,Mobile,Successful,,France,68,1233,Merchant_014,Groceries,Spain,True,False,False,False
TXN_091849,CUST_00001,MER_040,2025-04-03 03:18:52,33.94,Purchase,Credit Card,Tablet,Successful,,France,68,1233,Merchant_040,Food & Dining,Spain,True,False,False,False
TXN_046469,CUST_00001,MER_023,2025-04-19 11:26:07,67.04,Subscription,Credit Card,Desktop,Successful,,France,68,1233,Merchant_023,Groceries,Germany,True,False,False,False
TXN_000826,CUST_00001,MER_006,2025-04-28 22:42:10,68.84,Purchase,Credit Card,Mobile,Failed,Expired Card,France,68,1233,Merchant_006,Electronics,Spain,True,False,False,False
TXN_022177,CUST_00001,MER_037,2025-05-04 20:53:28,113.33,Purchase,Digital Wallet,Mobile,Successful,,France,68,1233,Merchant_037,Groceries,Italy,True,False,False,False
TXN_017584,CUST_00001,MER_026,2025-05-14 13:28:11,34.87,Purchase,Bank Transfer,Desktop,Successful,,France,68,1233,Merchant_026,E-commerce,France,False,False,False,False
TXN_057590,CUST_00001,MER_020,2025-06-19 02:33:35,67.11,Purchase,Debit Card,Mobile,Successful,,France,68,1233,Merchant_020,Fashion,Belgium,True,False,False,False
TXN_094446,CUST_00001,MER_050,2025-06-20 13:48:40,53.22,Purchase,Bank Transfer,Desktop,Successful,,France,68,1233,Merchant_050,Electronics,Germany,True,False,False,False
TXN_042716,CUST_00001,MER_008,2025-06-30 06:21:04,33.36,Subscription,Debit Card,Mobile,Successful,,France,68,1233,Merchant_008,Fashion,Italy,True,False,False,False
TXN_087497,CUST_00001,MER_028,2025-08-14 16:43:04,30.35,Purchase,Credit Card,Desktop,Successful,,France,68,1233,Merchant_028,Travel,Italy,True,False,False,False
TXN_042339,CUST_00001,MER_031,2025-08-19 10:15:11,30.49,Purchase,Debit Card,Mobile,Successful,,France,68,1233,Merchant_031,Travel,Germany,True,False,False,False
TXN_045831,CUST_00001,MER_014,2025-08-30 03:06:22,75.15,Purchase,Debit Card,Desktop,Successful,,France,68,1233,Merchant_014,Groceries,Spain,True,False,False,False
TXN_069109,CUST_00001,MER_036,2025-09-03 04:47:16,20.0,Purchase,Digital Wallet,Mobile,Successful,,France,68,1233,Merchant_036,Electronics,Belgium,True,False,False,False
TXN_009750,CUST_00001,MER_015,2025-09-05 02:11:11,30.32,Purchase,Digital Wallet,Mobile,Successful,,France,68,1233,Merchant_015,Travel,Spain,True,False,False,False
TXN_026024,CUST_00001,MER_024,2025-09-22 14:08:42,16.5,Refund,Digital Wallet,Tablet,Successful,,France,68,1233,Merchant_024,Fashion,Netherlands,True,False,False,False
TXN_030392,CUST_00001,MER_006,2025-10-02 00:02:49,19.11,Purchase,Bank Transfer,Mobile,Successful,,France,68,1233,Merchant_006,Electronics,Spain,True,False,False,False
TXN_049631,CUST_00001,MER_002,2025-10-19 02:36:06,33.59,Purchase,Debit Card,Mobile,Successful,,France,68,1233,Merchant_002,Electronics,France,False,False,False,False
TXN_054595,CUST_00001,MER_003,2025-10-26 01:57:09,20.58,Purchase,Debit Card,Mobile,Successful,,France,68,1233,Merchant_003,E-commerce,Spain,True,False,False,False
TXN_095875,CUST_00001,MER_043,2025-11-05 20:55:13,71.13,Purchase,Credit Card,Mobile,Successful,,France,68,1233,Merchant_043,Entertainment,Belgium,True,False,False,False
TXN_011924,CUST_00001,MER_010,2025-11-21 04:08:51,94.27,Purchase,Debit Card,Desktop,Successful,,France,68,1233,Merchant_010,Food & Dining,Italy,True,False,False,False
TXN_075481,CUST_00001,MER_037,2025-12-01 17:23:13,27.55,Purchase,Credit Card,Mobile,Successful,,France,68,1233,Merchant_037,Groceries,Italy,True,False,False,False
TXN_051902,CUST_00002,MER_007,2025-01-13 16:27:10,67.57,Purchase,Credit Card,Mobile,Successful,,Belgium,57,545,Merchant_007,Groceries,Netherlands,True,False,False,False
